City_ID,City,Country,Lat,Lon,Max Temp,Description,Hotel Name
280,Weiser,US,44.251,-116.9693,84.4,clear sky,The Colonial Motel
281,Wuwei,CN,37.9281,102.6414,84.56,clear sky,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
282,Safford,US,32.834,-109.7076,88.72,few clouds,SpringHill Suites by Marriott Thatcher
283,Kokuy,RU,52.2037,117.5529,86.36,clear sky,Gostinichno-Bannyy Kompleks
284,Show low,US,34.2542,-110.0298,77.29,clear sky,Hampton Inn & Suites Show Low-Pinetop
285,Kassala,SD,15.451,36.4,80.92,scattered clouds,Amassi Hotel Gash
286,Baruun-urt,MN,46.6806,113.2792,76.37,clear sky,Ахмадын амралт сувилал
287,Pirae,PF,-17.5167,-149.5333,80.01,few clouds,Tahiti Nui Hotel
288,Marawi,SD,7.9986,124.2928,78.6,scattered clouds,Derogongan Residence
289,Yarmouth,CA,41.7057,-70.2286,78.01,few clouds,Blue Rock Resort
290,Tautira,PF,-17.7333,-149.15,76.8,scattered clouds,Pension Oaoa
291,Rabak,SD,13.1809,32.74,80.26,scattered clouds,فندق ربك Rabak Hotel
292,Tevaitoa,PF,-16.7833,-151.5,78.66,few clouds,Hôtel Raiatea Lodge
293,Bud,NO,39.447,-86.1758,77.02,clear sky,Ted McQuinn Trust
294,Tiarei,PF,-17.5333,-149.3333,80.01,few clouds,Le Rocher de Tahiti
295,Sinnar,SD,13.5691,33.5672,80.55,few clouds,بساتين سالمة
296,Vaitape,PF,-16.5167,-151.75,78.64,few clouds,Conrad Bora Bora Nui
297,Guozhen,CN,34.3659,107.359,84.27,clear sky,Yucai Hotel
298,Bintulu,MY,3.1667,113.0333,86.36,scattered clouds,900 Boutique INN
299,Termiz,UZ,37.2242,67.2783,89.69,clear sky,Hotel Sharq
300,Atlantic beach,US,30.3344,-81.3987,78.82,clear sky,One Ocean Resort and Spa
301,Daru,PG,-9.0763,143.2092,79.72,scattered clouds,Daru Lodge
302,Waingapu,ID,-9.6567,120.2641,83.52,few clouds,Pondok Wisata Elim
303,Mount isa,AU,-20.7333,139.5,76.77,clear sky,ibis Styles Mt Isa Verona
304,The valley,AI,18.217,-63.0578,80.82,few clouds,CeBlue Villas & Beach Resort
305,Carlisle,AG,40.2015,-77.1889,80.64,few clouds,Fairfield Inn & Suites by Marriott Carlisle
306,Masakin,TN,35.7292,10.5808,77.2,clear sky,DAR EL ANDALOUS Guest house
307,Mastic beach,US,40.7668,-72.8521,79.7,clear sky,Brushwood House by Smith Point Beach
308,Tamiahua,MX,21.2667,-97.45,79.11,clear sky,Mission Of The Sun Hotel
309,La palma,PA,33.8464,-118.0467,79.66,clear sky,La Quinta Inn & Suites by Wyndham Buena Park
310,Amazar,RU,53.858,120.875,81.68,clear sky,Гостиничный Комплекс Уют
311,Grand island,US,40.925,-98.342,84.49,clear sky,Fairfield Inn & Suites by Marriott Grand Island
